size,time_ns,operations
100,1449,4554
200,4858,16614
300,10500,38264
400,18775,70608
500,27788,105910
600,38551,150586
700,51892,204914
800,66013,263248
900,82016,330532
1000,102006,413688
1100,122517,501364
1200,153286,617238
1300,179116,722218
1400,202322,828954
1500,232260,959740
1600,261719,1086206
1700,293903,1225674
1800,329681,1377466
1900,368348,1542036
2000,405128,1699228
2100,442343,1856020
2200,483873,2033644
2300,530078,2231148
2400,573229,2414686
2500,617824,2602346
2600,691952,2813812
2700,853407,3066412
2800,805803,3297736
2900,849652,3527650
3000,910078,3782944
3100,971456,4040684
3200,1033702,4302584
3300,1097574,4565994
3400,1299520,4875678
3500,1243765,5152276
3600,1308426,5456190
3700,1377117,5744768
3800,1449216,6047244
3900,1551770,6373464
4000,1607905,6714280
4100,1687795,7046410
