size,time_ns,operations
100,2108,1429
200,4216,2942
300,5582,4468
400,8319,6878
500,10183,9151
600,13824,11306
700,16683,13453
800,19953,14565
900,24466,16796
1000,28081,21106
1100,33768,22814
1200,36038,23817
1300,42433,28141
1400,47231,26956
1500,51233,30277
1600,56851,33818
1700,62234,36081
1800,68048,38168
1900,74111,43648
2000,74347,44220
2100,82121,49484
2200,84177,46418
2300,89590,49868
2400,93152,55399
2500,95147,56192
2600,103803,58571
2700,115292,65414
2800,112694,61869
2900,120373,69097
3000,125301,76586
3100,128130,75061
3200,131644,77394
3300,139300,75683
3400,142002,78684
3500,151374,89525
3600,151003,84603
3700,151016,84239
3800,163204,95695
3900,169573,90062
4000,173113,92730
4100,182035,109749
