size,time_ns,operations
100,1815,1196
200,3286,2826
300,4902,4809
400,6412,6461
500,8271,8074
600,9747,10863
700,10520,12372
800,14715,14964
900,16858,16975
1000,17133,18203
1100,19761,21982
1200,23510,24366
1300,25248,26349
1400,26431,27986
1500,28011,29854
1600,35877,33046
1700,37247,34773
1800,41962,37549
1900,36160,37727
2000,46130,40880
2100,47820,46537
2200,50565,48766
2300,49858,50503
2400,62880,54333
2500,62077,56425
2600,63648,58082
2700,62622,59845
2800,70226,62643
2900,69174,64232
3000,71802,66595
3100,73744,68808
3200,88459,74501
3300,82156,73863
3400,84784,75927
3500,81545,77072
3600,96814,82296
3700,89799,82119
3800,90973,83849
3900,90149,85847
4000,111027,90824
4100,120892,105657
