size,time_ns,operations
100,4009,5590
200,16060,21306
300,30789,47009
400,50656,82801
500,83467,128666
600,112917,184672
700,148402,250104
800,183042,326190
900,230464,411915
1000,293526,507933
1100,348386,613639
1200,427007,729533
1300,454433,856020
1400,544168,991880
1500,597109,1137550
1600,667429,1293630
1700,790719,1459534
1800,897323,1635334
1900,951570,1821022
2000,1049806,2017226
2100,1134162,2223021
2200,1237650,2439211
2300,1424988,2665308
2400,1463264,2900670
2500,1625070,3146830
2600,1704728,3403376
2700,1843157,3669140
2800,2006826,3944896
2900,2119219,4231065
3000,2254159,4527136
3100,2395597,4832913
3200,2537209,5148191
3300,2712759,5474214
3400,2882891,5810350
3500,3040502,6156049
3600,3203581,6512482
3700,3390095,6878732
3800,3631979,7254560
3900,3783505,7639780
4000,3992250,8036297
4100,4223952,8442183
