size,time_ns,operations
100,1362,2101
200,3219,4903
300,5413,7793
400,7420,10747
500,10185,13709
600,13222,17335
700,17504,20717
800,21167,24099
900,27630,27513
1000,32383,30835
1100,38573,34601
1200,44759,38267
1300,51164,41937
1400,56327,45695
1500,61698,49245
1600,67040,53031
1700,71710,56493
1800,77445,59963
1900,82648,63753
2000,87522,67371
2100,92259,71377
2200,97625,75099
2300,102874,79429
2400,111356,83859
2500,112033,88045
2600,117114,91959
2700,122730,96497
2800,126671,100175
2900,131448,104257
3000,136528,108175
3100,142148,112497
3200,146110,116695
3300,150097,120597
3400,154016,123823
3500,159811,127849
3600,165108,132051
3700,167116,135693
3800,173373,140275
3900,178864,144153
4000,189981,148263
4100,198098,152841
