size,time_ns,operations
100,7669,1360
200,10589,3106
300,15779,4996
400,20656,6996
500,27290,8996
600,32210,11174
700,38954,13374
800,44354,15574
900,50923,17774
1000,57711,19974
1100,66389,22328
1200,73378,24728
1300,81209,27128
1400,89254,29528
1500,98752,31928
1600,111808,34328
1700,117924,36728
1800,127623,39128
1900,133508,41528
2000,142845,43928
2100,151357,46434
2200,160615,49034
2300,168102,51634
2400,172645,54234
2500,184846,56834
2600,192044,59434
2700,200478,62034
2800,208990,64634
2900,218859,67234
3000,226442,69834
3100,233832,72434
3200,240105,75034
3300,246386,77634
3400,259364,80234
3500,266064,82834
3600,275842,85434
3700,280639,88034
3800,289164,90634
3900,298663,93234
4000,305373,95834
4100,314806,98444
