size,time_ns,operations
100,1807,986
200,3640,2289
300,3854,3708
400,4875,5252
500,6351,6884
600,7647,8482
700,8656,10049
800,10624,11860
900,12711,13651
1000,12999,15329
1100,14631,17018
1200,15958,18785
1300,18368,20576
1400,20005,22453
1500,21568,24208
1600,24309,26033
1700,25806,27844
1800,28390,29603
1900,29193,31383
2000,32197,33261
2100,33319,35066
2200,36881,36879
2300,40299,38784
2400,42664,40669
2500,44502,42443
2600,47239,44270
2700,50125,46207
2800,53652,48187
2900,56118,50142
3000,58313,52052
3100,62413,53897
3200,63914,55787
3300,66088,57618
3400,67511,59560
3500,71308,61563
3600,73692,63478
3700,75456,65333
3800,78188,67249
3900,80148,69293
4000,83308,71220
4100,85360,73159
