size,time_ns,operations
100,5981,7798
200,20715,30119
300,49972,67215
400,88487,119889
500,142293,186836
600,200025,263499
700,272187,365823
800,357488,478935
900,451269,607509
1000,557423,749541
1100,668203,898470
1200,797321,1071468
1300,929806,1253726
1400,1077446,1460194
1500,1229549,1672148
1600,1396848,1914444
1700,1583876,2159109
1800,1786714,2419112
1900,1987581,2688930
2000,2195863,2990237
2100,2410058,3296458
2200,2637036,3620662
2300,2876047,3960533
2400,3100508,4312482
2500,3393999,4677624
2600,3668116,5055151
2700,4006605,5456376
2800,4316261,5865891
2900,4597262,6261304
3000,4974533,6705555
3100,5403039,7171981
3200,5793782,7629521
3300,6178728,8118576
3400,6902504,8606539
3500,7103876,9115670
3600,7558940,9650412
3700,8159812,10192654
3800,8811604,10768178
3900,9539345,11328856
4000,10010534,11932183
4100,10436088,12548052
