size,time_ns,operations
100,1006,3334
200,2431,11604
300,4031,24619
400,5876,44709
500,8019,69915
600,10385,98153
700,13713,131881
800,18033,170255
900,23639,216182
1000,30400,262334
1100,38230,318395
1200,47293,373874
1300,54472,437840
1400,62726,500586
1500,70350,569005
1600,78354,645572
1700,86021,731866
1800,94281,822190
1900,102177,918943
2000,111022,1027420
2100,118428,1133592
2200,127002,1241914
2300,135591,1350701
2400,143143,1460522
2500,152139,1596651
2600,160254,1723569
2700,168587,1855955
2800,177470,1992573
2900,186605,2139382
3000,196502,2284857
3100,206719,2444094
3200,216468,2608453
3300,225782,2767581
3400,236523,2945265
3500,245946,3132271
3600,256400,3297528
3700,266977,3475670
3800,278079,3676735
3900,290053,3886046
4000,302628,4095533
4100,313018,4291171
