size,time_ns,operations
100,5142,5355
200,18049,20756
300,35798,46133
400,59889,81507
500,89315,126845
600,123935,182235
700,128902,247626
800,207261,323018
900,258272,408444
1000,309916,503814
1100,347714,609186
1200,358767,724559
1300,419377,849911
1400,498635,985264
1500,594511,1130645
1600,659155,1286045
1700,718324,1451405
1800,810608,1626788
1900,878285,1812124
2000,1141430,2007544
2100,2003403,2212937
2200,1355296,2428311
2300,1287300,2653688
2400,1386013,2889013
2500,1500311,3134447
2600,1629165,3389838
2700,1744851,3655212
2800,1876731,3930618
2900,2037303,4215998
3000,2147745,4511354
3100,2304576,4816677
3200,2445143,5132088
3300,2594615,5457506
3400,2753707,5792874
3500,2919107,6138220
3600,3201860,6493690
3700,3296884,6859054
3800,3432793,7234390
3900,3614336,7619754
4000,3824168,8015111
4100,3991314,8420523
