size,time_ns,operations
100,648,969
200,1452,2307
300,2368,3692
400,3406,5279
500,4778,6897
600,5363,8417
700,6833,9994
800,7902,11726
900,8947,13473
1000,10953,15350
1100,11960,17031
1200,13819,18887
1300,16138,20718
1400,16849,22494
1500,19548,24354
1600,21024,26066
1700,23147,27890
1800,25699,29787
1900,28707,31711
2000,31261,33506
2100,32706,35241
2200,35611,37102
2300,37487,38932
2400,39347,40682
2500,41316,42438
2600,44359,44494
2700,47581,46397
2800,49965,48172
2900,53115,50053
3000,54861,51908
3100,58077,53803
3200,60134,55642
3300,64041,57675
3400,66122,59652
3500,67909,61507
3600,70596,63438
3700,74275,65388
3800,78301,67262
3900,79406,69151
4000,80394,71147
4100,82866,73158
