size,time_ns,operations
100,1758,2751
200,4882,8121
300,10172,17271
400,16307,28965
500,26110,45947
600,70971,64769
700,97399,88997
800,122342,112711
900,154418,143932
1000,187997,175664
1100,125302,209347
1200,127468,250718
1300,147866,294247
1400,167599,335642
1500,400486,389667
1600,468874,440981
1700,528945,496106
1800,597807,561691
1900,661780,620716
2000,730800,687303
2100,799196,750601
2200,884957,833033
2300,956133,898722
2400,1038615,976237
2500,1145561,1077278
2600,1224682,1151683
2700,1323618,1244073
2800,1411469,1328980
2900,1513875,1424947
3000,1622108,1523587
3100,1723098,1626934
3200,1841722,1734652
3300,1957136,1844455
3400,2065432,1950547
3500,1466913,2076095
3600,1051579,2195120
3700,1109832,2319397
3800,1165641,2435749
3900,2429098,2570704
4000,2366707,2700001
4100,1352284,2840630
