size,time_ns,operations
100,6006,7119
200,20511,28252
300,45410,63609
400,76263,110546
500,118199,173221
600,168189,249391
700,223565,341771
800,291766,448663
900,367838,569708
1000,448947,704470
1100,539458,851700
1200,762748,1005764
1300,746571,1171829
1400,859415,1356819
1500,987065,1560524
1600,1106818,1778464
1700,1251423,2012948
1800,1392793,2258580
1900,1550667,2509492
2000,1714631,2791401
2100,1889795,3073059
2200,2067776,3369352
2300,2255739,3687220
2400,2470168,4009794
2500,2677993,4355056
2600,2874216,4707671
2700,3104599,5086963
2800,3333967,5480970
2900,3596163,5865691
3000,3884459,6278678
3100,4141772,6702894
3200,4361693,7145864
3300,4654455,7593267
3400,4932222,8055544
3500,5289362,8533104
3600,5531353,9036718
3700,5938320,9546814
3800,6390130,10061474
3900,6788721,10583854
4000,7223023,11142060
4100,7729001,11706414
