size,time_ns,operations
100,2377,1465
200,3893,3370
300,6255,5699
400,8795,8103
500,12241,10083
600,17049,13427
700,23416,15704
800,31576,19282
900,37806,22631
1000,45313,23253
1100,50784,29072
1200,58470,31482
1300,64765,35148
1400,72825,36700
1500,76802,38872
1600,84926,45120
1700,88488,46105
1800,96909,53624
1900,103701,50911
2000,111561,53890
2100,117338,62983
2200,121005,65342
2300,129305,66625
2400,137613,72952
2500,142522,76700
2600,150971,80426
2700,158143,85078
2800,165094,83976
2900,166778,87028
3000,175834,88844
3100,188441,107294
3200,196974,109333
3300,194413,100838
3400,199718,105808
3500,203884,104376
3600,216497,121500
3700,219721,112408
3800,228158,118184
3900,231533,118693
4000,241876,128211
4100,278261,190645
