size,time_ns,operations
100,168,404
200,300,804
300,440,1204
400,609,1604
500,692,2004
600,833,2404
700,961,2804
800,1180,3204
900,1222,3604
1000,1348,4004
1100,1486,4404
1200,1618,4804
1300,1766,5204
1400,1898,5604
1500,1996,6004
1600,2130,6404
1700,2255,6804
1800,2386,7204
1900,2524,7604
2000,2657,8004
2100,2816,8404
2200,2895,8804
2300,3067,9204
2400,3172,9604
2500,3281,10004
2600,3473,10404
2700,3542,10804
2800,3735,11204
2900,3804,11604
3000,3969,12004
3100,4076,12404
3200,4236,12804
3300,4484,13204
3400,4680,13604
3500,4635,14004
3600,5445,14404
3700,5306,14804
3800,5063,15204
3900,5193,15604
4000,5298,16004
4100,5415,16404
