size,time_ns,operations
100,4569,1360
200,9430,3106
300,14255,4996
400,19345,6996
500,25431,8996
600,31389,11174
700,37575,13374
800,41517,15574
900,46487,17774
1000,53972,19974
1100,59792,22328
1200,64961,24728
1300,70355,27128
1400,74874,29528
1500,80679,31928
1600,85349,34328
1700,92125,36728
1800,95268,39128
1900,100801,41528
2000,105290,43928
2100,112353,46434
2200,119120,49034
2300,123302,51634
2400,129196,54234
2500,135117,56834
2600,140723,59434
2700,145641,62034
2800,152224,64634
2900,158404,67234
3000,164190,69834
3100,170694,72434
3200,174001,75034
3300,181126,77634
3400,187297,80234
3500,195839,82834
3600,201672,85434
3700,207203,88034
3800,214186,90634
3900,220631,93234
4000,225360,95834
4100,239503,98444
