size,time_ns,operations
100,2619,2089
200,4661,4831
300,6866,7689
400,9965,11011
500,14164,14269
600,17159,17607
700,22126,21073
800,27016,24543
900,32223,27741
1000,38256,31295
1100,43271,34677
1200,48025,38815
1300,54232,42485
1400,59549,46355
1500,65014,49637
1600,71392,53835
1700,76442,57969
1800,81436,61307
1900,86770,65177
2000,92702,69167
2100,99543,73129
2200,103895,77543
2300,111961,81129
2400,116444,85219
2500,120958,89397
2600,126231,93135
2700,129828,97489
2800,134782,101655
2900,139296,105421
3000,144791,109635
3100,150903,113849
3200,158084,118195
3300,161811,122489
3400,166456,126539
3500,169385,130157
3600,178578,134215
3700,180717,137845
3800,186422,142607
3900,195218,146909
4000,191490,150787
4100,199256,154609
