size,time_ns,operations
100,5106,6742
200,18088,27093
300,39725,60925
400,71972,109453
500,116782,170080
600,162407,246624
700,217603,334941
800,283439,435626
900,358684,554948
1000,438399,688482
1100,522487,834033
1200,619227,991774
1300,723320,1169656
1400,835946,1356542
1500,956745,1560678
1600,1084760,1773267
1700,1221869,2005765
1800,1355990,2250842
1900,1523072,2509935
2000,1679848,2778660
2100,1846331,3067404
2200,2023710,3364664
2300,2223238,3680892
2400,2420298,4005456
2500,2620815,4340866
2600,2835789,4702202
2700,3037277,5083658
2800,3257495,5466320
2900,3488938,5842365
3000,3740700,6262484
3100,3988469,6701174
3200,4248018,7135527
3300,4533171,7577853
3400,4808295,8048006
3500,5108227,8532641
3600,5414709,9028226
3700,5753796,9529089
3800,6159799,10022054
3900,6553544,10588156
4000,6983755,11147618
4100,7475134,11688799
