size,time_ns,operations
100,4923,404
200,6102,804
300,5604,1204
400,5652,1604
500,5731,2004
600,6194,2404
700,6469,2804
800,6521,3204
900,6687,3604
1000,7359,4004
1100,7316,4404
1200,7433,4804
1300,7940,5204
1400,7844,5604
1500,8813,6004
1600,9572,6404
1700,11240,6804
1800,9983,7204
1900,10476,7604
2000,10703,8004
2100,11414,8404
2200,11161,8804
2300,11567,9204
2400,11585,9604
2500,12100,10004
2600,12196,10404
2700,12139,10804
2800,12645,11204
2900,12353,11604
3000,13025,12004
3100,12842,12404
3200,13396,12804
3300,13139,13204
3400,13414,13604
3500,13182,14004
3600,13139,14404
3700,13462,14804
3800,14130,15204
3900,13968,15604
4000,13728,16004
4100,14252,16404
